"id","name","fips_code","state_abbrev"
1,"Autauga","1001","AL"
2,"Baldwin","1003","AL"
3,"Barbour","1005","AL"
4,"Bibb","1007","AL"
5,"Blount","1009","AL"
6,"Bullock","1011","AL"
7,"Butler","1013","AL"
8,"Calhoun","1015","AL"
9,"Chambers","1017","AL"
10,"Cherokee","1019","AL"
11,"Chilton","1021","AL"
12,"Choctaw","1023","AL"
13,"Clarke","1025","AL"
14,"Clay","1027","AL"
15,"Cleburne","1029","AL"
16,"Coffee","1031","AL"
17,"Colbert","1033","AL"
18,"Conecuh","1035","AL"
19,"Covington","1039","AL"
20,"Crenshaw","1041","AL"
21,"Cullman","1043","AL"
22,"Dale","1045","AL"
23,"Dallas","1047","AL"
24,"DeKalb","1049","AL"
25,"Elmore","1051","AL"
26,"Escambia","1053","AL"
27,"Etowah","1055","AL"
28,"Fayette","1057","AL"
29,"Franklin","1059","AL"
30,"Geneva","1061","AL"
31,"Greene","1063","AL"
32,"Hale","1065","AL"
33,"Henry","1067","AL"
34,"Houston","1069","AL"
35,"Jackson","1071","AL"
36,"Jefferson","1073","AL"
37,"Lamar","1075","AL"
38,"Lauderdale","1077","AL"
39,"Lawrence","1079","AL"
40,"Lee","1081","AL"
41,"Limestone","1083","AL"
42,"Lowndes","1085","AL"
43,"Macon","1087","AL"
44,"Madison","1089","AL"
45,"Marengo","1091","AL"
46,"Marion","1093","AL"
47,"Marshall","1095","AL"
48,"Mobile","1097","AL"
49,"Monroe","1099","AL"
50,"Montgomery","1101","AL"
51,"Morgan","1103","AL"
52,"Perry","1105","AL"
53,"Pickens","1107","AL"
54,"Pike","1109","AL"
55,"Randolph","1111","AL"
56,"Russell","1113","AL"
57,"St. Clair","1115","AL"
58,"Shelby","1117","AL"
59,"Sumter","1119","AL"
60,"Talladega","1121","AL"
61,"Tallapoosa","1123","AL"
62,"Tuscaloosa","1125","AL"
63,"Walker","1127","AL"
64,"Washington","1129","AL"
65,"Wilcox","1131","AL"
66,"Winston","1133","AL"
67,"Cochise","4003","AZ"
68,"Gila","4007","AZ"
69,"Graham","4009","AZ"
70,"Greenlee","4011","AZ"
71,"La Paz","4012","AZ"
72,"Maricopa","4013","AZ"
73,"Mohave","4015","AZ"
74,"Pima","4019","AZ"
75,"Pinal","4021","AZ"
76,"Yavapai","4025","AZ"
77,"Yuma","4027","AZ"
78,"Arkansas","5001","AR"
79,"Ashley","5003","AR"
80,"Baxter","5005","AR"
81,"Benton","5007","AR"
82,"Boone","5009","AR"
83,"Bradley","5011","AR"
84,"Calhoun","5013","AR"
85,"Carroll","5015","AR"
86,"Chicot","5017","AR"
