"id","zip_code","city","state","zip_class","county_id"
1,"00501","HOLTSVILLE","NY","UNIQUE",1735
2,"00544","HOLTSVILLE","NY","UNIQUE",1735
3,"00601","ADJUNTAS","PR","STANDARD",3188
4,"00602","AGUADA","PR","STANDARD",3189
5,"00603","AGUADILLA","PR","STANDARD",3190
6,"00604","AGUADILLA","PR","STANDARD",3190
7,"00605","AGUADILLA","PR","STANDARD",3190
8,"00606","MARICAO","PR","STANDARD",3353
9,"00610","ANASCO","PR","STANDARD",3197
10,"00611","ANGELES","PR","PO BOX ONLY",3483
11,"00612","ARECIBO","PR","STANDARD",3200
12,"00613","ARECIBO","PR","STANDARD",3200
13,"00614","ARECIBO","PR","STANDARD",3200
14,"00616","BAJADERO","PR","STANDARD",3200
15,"00617","BARCELONETA","PR","STANDARD",3204
16,"00622","BOQUERON","PR","STANDARD",3218
17,"00623","CABO ROJO","PR","STANDARD",3218
18,"00624","PENUELAS","PR","STANDARD",3398
19,"00627","CAMUY","PR","STANDARD",3221
20,"00631","CASTANER","PR","STANDARD",3333
21,"00636","ROSARIO","PR","STANDARD",3452
22,"00637","SABANA GRANDE","PR","STANDARD",3420
23,"00638","CIALES","PR","STANDARD",3233
24,"00641","UTUADO","PR","STANDARD",3483
25,"00646","DORADO","PR","STANDARD",3266
26,"00647","ENSENADA","PR","STANDARD",3292
27,"00650","FLORIDA","PR","STANDARD",3278
28,"00652","GARROCHALES","PR","STANDARD",3200
29,"00653","GUANICA","PR","STANDARD",3292
30,"00656","GUAYANILLA","PR","STANDARD",3294
31,"00659","HATILLO","PR","STANDARD",3304
32,"00660","HORMIGUEROS","PR","STANDARD",3310
33,"00662","ISABELA","PR","STANDARD",3314
34,"00664","JAYUYA","PR","STANDARD",3317
35,"00667","LAJAS","PR","STANDARD",3329
36,"00669","LARES","PR","STANDARD",3333
37,"00670","LAS MARIAS","PR","STANDARD",3334
38,"00674","MANATI","PR","STANDARD",3352
39,"00676","MOCA","PR","STANDARD",3367
40,"00677","RINCON","PR","STANDARD",3416
41,"00678","QUEBRADILLAS","PR","STANDARD",3410
42,"00680","MAYAGUEZ","PR","STANDARD",3361
43,"00681","MAYAGUEZ","PR","STANDARD",3361
44,"00682","MAYAGUEZ","PR","STANDARD",3361
45,"00683","SAN GERMAN","PR","STANDARD",3452
46,"00685","SAN SEBASTIAN","PR","STANDARD",3456
47,"00687","MOROVIS","PR","STANDARD",3371
48,"00688","SABANA HOYOS","PR","STANDARD",3200
49,"00690","SAN ANTONIO","PR","STANDARD",3190
50,"00692","VEGA ALTA","PR","STANDARD",3485
51,"00693","VEGA BAJA","PR","STANDARD",3486
52,"00694","VEGA BAJA","PR","STANDARD",3486
53,"00698","YAUCO","PR","STANDARD",3500
54,"00703","AGUAS BUENAS","PR","STANDARD",3191
55,"00704","AGUIRRE","PR","STANDARD",3293
56,"00705","AIBONITO","PR","STANDARD",3192
57,"00707","MAUNABO","PR","STANDARD",3360
58,"00714","ARROYO","PR","STANDARD",3202
59,"00715","MERCEDITA","PR","STANDARD",3405
60,"00716","PONCE","PR","STANDARD",3405
61,"00717","PONCE","PR","STANDARD",3405
62,"00718","NAGUABO","PR","STANDARD",3373
63,"00719","NARANJITO","PR","STANDARD",3375
64,"00720","OROCOVIS","PR","STANDARD",3392
65,"00721","PALMER","PR","STANDARD",3417
66,"00723","PATILLAS","PR","STANDARD",3396
67,"00725","CAGUAS","PR","STANDARD",3219
68,"00726","CAGUAS","PR","STANDARD",3219
69,"00727","CAGUAS","PR","STANDARD",3219
70,"00728","PONCE","PR","STANDARD",3405
71,"00729","CANOVANAS","PR","STANDARD",3222
72,"00730","PONCE","PR","STANDARD",3405
73,"00731","PONCE","PR","STANDARD",3405
74,"00732","PONCE","PR","STANDARD",3405
75,"00733","PONCE","PR","STANDARD",3405
76,"00734","PONCE","PR","STANDARD",3405
77,"00735","CEIBA","PR","STANDARD",3228
78,"00736","CAYEY","PR","STANDARD",3227
79,"00737","CAYEY","PR","STANDARD",3227
80,"00738","FAJARDO","PR","STANDARD",3275
81,"00739","CIDRA","PR","STANDARD",3234
82,"00740","PUERTO REAL","PR","STANDARD",3275
83,"00741","PUNTA SANTIAGO","PR","STANDARD",3312
84,"00742","ROOSEVELT ROADS","PR","STANDARD",3228
85,"00744","RIO BLANCO","PR","PO BOX ONLY",3373
86,"00745","RIO GRANDE","PR","STANDARD",3417
87,"00751","SALINAS","PR","STANDARD",3451
88,"00754","SAN LORENZO","PR","STANDARD",3455
89,"00757","SANTA ISABEL","PR","STANDARD",3459
90,"00765","VIEQUES","PR","STANDARD",3487
91,"00766","VILLALBA","PR","STANDARD",3488
92,"00767","YABUCOA","PR","STANDARD",3498
93,"00769","COAMO","PR","STANDARD",3240
94,"00771","LAS PIEDRAS","PR","STANDARD",3335
95,"00772","LOIZA","PR","STANDARD",3345
96,"00773","LUQUILLO","PR","STANDARD",3348
97,"00775","CULEBRA","PR","PO BOX ONLY",3250
98,"00777","JUNCOS","PR","STANDARD",3320
99,"00778","GURABO","PR","STANDARD",3297
100,"00780","COTO LAUREL","PR","STANDARD",3405
101,"00782","COMERIO","PR","STANDARD",3245
102,"00783","COROZAL","PR","STANDARD",3247
103,"00784","GUAYAMA","PR","STANDARD",3293
104,"00785","GUAYAMA","PR","STANDARD",3294
105,"00786","LA PLATA","PR","PO BOX ONLY",3192
106,"00791","HUMACAO","PR","STANDARD",3312
107,"00792","HUMACAO","PR","STANDARD",3312
108,"00794","BARRANQUITAS","PR","STANDARD",3205
109,"00795","JUANA DIAZ","PR","STANDARD",3319
110,"00801","ST THOMAS","VI","STANDARD",3448
111,"00802","ST THOMAS","VI","STANDARD",3448
112,"00803","ST THOMAS","VI","STANDARD",3448
113,"00804","ST THOMAS","VI","STANDARD",3448
114,"00805","ST THOMAS","VI","STANDARD",3448
115,"00820","CHRISTIANSTED","VI","STANDARD",3429
116,"00821","CHRISTIANSTED","VI","STANDARD",3429
117,"00822","CHRISTIANSTED","VI","STANDARD",3429
118,"00823","CHRISTIANSTED","VI","STANDARD",3429
119,"00824","CHRISTIANSTED","VI","STANDARD",3429
120,"00830","ST JOHN","VI","STANDARD",3435
121,"00831","ST JOHN","VI","STANDARD",3435
122,"00840","FREDERIKSTED","VI","STANDARD",3429
123,"00841","FREDERIKSTED","VI","STANDARD",3429
124,"00850","KINGSHILL","VI","STANDARD",3429
125,"00851","KINGSHILL","VI","STANDARD",3429
126,"00901","SAN JUAN","PR","STANDARD",3454
127,"00902","SAN JUAN","PR","STANDARD",3454
128,"00906","SAN JUAN","PR","STANDARD",3454
129,"00907","SAN JUAN","PR","STANDARD",3454
130,"00908","SAN JUAN","PR","STANDARD",3454
131,"00909","SAN JUAN","PR","STANDARD",3454
132,"00910","SAN JUAN","PR","STANDARD",3454
133,"00911","SAN JUAN","PR","STANDARD",3454
134,"00912","SAN JUAN","PR","STANDARD",3454
135,"00913","SAN JUAN","PR","STANDARD",3454
136,"00914","SAN JUAN","PR","STANDARD",3454
137,"00915","SAN JUAN","PR","STANDARD",3454
138,"00916","SAN JUAN","PR","STANDARD",3454
139,"00917","SAN JUAN","PR","STANDARD",3454
140,"00918","SAN JUAN","PR","STANDARD",3454
